order_item_id,order_id,product_id,quantity,unit_price,discount_pct,item_total
OI000001,O00001,P023,1,499,15,424.15
OI000002,O00002,P020,1,349,0,349.0
OI000003,O00003,P001,2,549,10,988.2
OI000004,O00003,P002,1,599,20,479.2
OI000005,O00004,P009,2,349,5,663.1
OI000006,O00005,P020,3,349,10,942.3
OI000007,O00005,P006,1,599,5,569.05
OI000008,O00006,P014,1,499,15,424.15
OI000009,O00007,P006,2,599,0,1198.0
OI000010,O00007,P021,3,399,5,1137.15
OI000011,O00008,P021,2,399,0,798.0
OI000012,O00008,P017,1,299,20,239.2
OI000013,O00009,P007,1,699,0,699.0
OI000014,O00010,P004,1,649,0,649.0
OI000015,O00011,P003,1,699,20,559.2
OI000016,O00012,P016,1,299,15,254.15
OI000017,O00013,P006,1,599,20,479.2
OI000018,O00013,P028,1,249,15,211.65
OI000019,O00014,P010,1,399,5,379.05
OI000020,O00015,P006,1,599,5,569.05
OI000021,O00016,P002,1,599,25,449.25
OI000022,O00017,P022,1,499,5,474.05
OI000023,O00017,P004,1,649,10,584.1
OI000024,O00018,P006,1,599,5,569.05
OI000025,O00018,P015,1,449,0,449.0
OI000026,O00018,P009,1,349,5,331.55
OI000027,O00019,P014,1,499,10,449.1
OI000028,O00019,P013,2,399,10,718.2
OI000029,O00019,P022,2,499,10,898.2
OI000030,O00019,P021,1,399,20,319.2
OI000031,O00020,P004,3,649,15,1654.95
OI000032,O00020,P028,1,249,5,236.55
OI000033,O00021,P001,2,549,0,1098.0
OI000034,O00021,P017,1,299,10,269.1
OI000035,O00021,P014,1,499,25,374.25
OI000036,O00022,P004,1,649,10,584.1
OI000037,O00023,P007,1,699,15,594.15
OI000038,O00024,P010,1,399,0,399.0
OI000039,O00024,P012,2,449,0,898.0
OI000040,O00024,P012,1,449,5,426.55
OI000041,O00025,P006,1,599,10,539.1
OI000042,O00025,P022,1,499,0,499.0
OI000043,O00026,P016,1,299,0,299.0
OI000044,O00026,P007,1,699,25,524.25
OI000045,O00027,P001,1,549,10,494.1
OI000046,O00027,P025,1,599,5,569.05
OI000047,O00028,P014,3,499,25,1122.75
OI000048,O00028,P001,2,549,10,988.2
OI000049,O00029,P004,1,649,0,649.0
OI000050,O00029,P012,2,449,15,763.3
OI000051,O00030,P014,1,499,5,474.05
OI000052,O00030,P004,1,649,15,551.65
OI000053,O00031,P003,1,699,15,594.15
OI000054,O00032,P024,1,799,20,639.2
OI000055,O00033,P009,2,349,0,698.0
OI000056,O00033,P007,1,699,5,664.05
OI000057,O00033,P002,1,599,20,479.2
OI000058,O00034,P018,1,349,15,296.65
OI000059,O00035,P013,1,399,25,299.25
OI000060,O00036,P012,1,449,0,449.0
OI000061,O00037,P021,3,399,5,1137.15
OI000062,O00037,P001,1,549,10,494.1
OI000063,O00037,P005,1,699,15,594.15
OI000064,O00038,P003,1,699,0,699.0
OI000065,O00039,P015,1,449,5,426.55
OI000066,O00040,P028,1,249,0,249.0
OI000067,O00040,P009,1,349,20,279.2
OI000068,O00041,P018,1,349,5,331.55
OI000069,O00042,P003,2,699,20,1118.4
OI000070,O00043,P024,2,799,0,1598.0
OI000071,O00043,P002,1,599,25,449.25
OI000072,O00044,P011,1,349,15,296.65
OI000073,O00044,P014,1,499,20,399.2
OI000074,O00044,P010,2,399,15,678.3
OI000075,O00045,P016,1,299,20,239.2
OI000076,O00046,P002,1,599,5,569.05
OI000077,O00046,P016,1,299,5,284.05
OI000078,O00047,P012,1,449,25,336.75
OI000079,O00048,P021,1,399,20,319.2
OI000080,O00049,P027,2,399,10,718.2
OI000081,O00049,P015,1,449,10,404.1
OI000082,O00050,P009,1,349,10,314.1
OI000083,O00050,P011,1,349,5,331.55
OI000084,O00051,P005,1,699,20,559.2
OI000085,O00052,P015,1,449,0,449.0
OI000086,O00053,P014,2,499,15,848.3
OI000087,O00054,P014,1,499,5,474.05
OI000088,O00055,P026,1,449,10,404.1
OI000089,O00055,P015,1,449,5,426.55
OI000090,O00056,P011,1,349,10,314.1
OI000091,O00057,P002,1,599,5,569.05
OI000092,O00058,P003,1,699,20,559.2
OI000093,O00058,P024,1,799,10,719.1
OI000094,O00059,P028,1,249,5,236.55
OI000095,O00059,P008,1,799,15,679.15
OI000096,O00059,P013,2,399,15,678.3
OI000097,O00060,P007,1,699,10,629.1
OI000098,O00060,P004,1,649,5,616.55
OI000099,O00060,P016,1,299,0,299.0
OI000100,O00060,P004,1,649,5,616.55
OI000101,O00061,P012,1,449,15,381.65
OI000102,O00061,P014,1,499,5,474.05
OI000103,O00062,P027,1,399,10,359.1
OI000104,O00063,P013,1,399,20,319.2
OI000105,O00064,P028,1,249,10,224.1
OI000106,O00065,P028,1,249,20,199.2
OI000107,O00065,P019,1,399,0,399.0
OI000108,O00066,P010,1,399,10,359.1
OI000109,O00066,P001,1,549,10,494.1
OI000110,O00067,P007,1,699,15,594.15
OI000111,O00067,P026,1,449,0,449.0
OI000112,O00068,P024,2,799,0,1598.0
OI000113,O00068,P016,1,299,10,269.1
OI000114,O00068,P027,1,399,10,359.1
OI000115,O00068,P001,1,549,5,521.55
OI000116,O00069,P006,1,599,10,539.1
OI000117,O00069,P003,1,699,15,594.15
OI000118,O00070,P014,2,499,5,948.1
OI000119,O00071,P009,1,349,0,349.0
OI000120,O00071,P008,1,799,5,759.05
OI000121,O00072,P014,2,499,20,798.4
OI000122,O00073,P019,1,399,5,379.05
OI000123,O00073,P005,2,699,10,1258.2
OI000124,O00074,P011,1,349,5,331.55
OI000125,O00075,P001,1,549,5,521.55
OI000126,O00075,P018,1,349,10,314.1
OI000127,O00075,P006,2,599,5,1138.1
OI000128,O00076,P015,1,449,5,426.55
OI000129,O00076,P006,1,599,10,539.1
OI000130,O00076,P018,2,349,0,698.0
OI000131,O00076,P014,1,499,25,374.25
OI000132,O00077,P004,1,649,15,551.65
OI000133,O00078,P003,1,699,0,699.0
OI000134,O00079,P017,1,299,5,284.05
OI000135,O00080,P004,1,649,15,551.65
OI000136,O00081,P012,1,449,10,404.1
OI000137,O00081,P010,1,399,0,399.0
OI000138,O00081,P004,2,649,10,1168.2
OI000139,O00082,P010,2,399,15,678.3
OI000140,O00083,P010,1,399,20,319.2
OI000141,O00083,P006,1,599,10,539.1
OI000142,O00084,P004,1,649,5,616.55
OI000143,O00085,P006,1,599,5,569.05
OI000144,O00086,P015,1,449,5,426.55
OI000145,O00086,P016,1,299,15,254.15
OI000146,O00087,P010,3,399,0,1197.0
OI000147,O00087,P016,1,299,0,299.0
OI000148,O00087,P007,1,699,0,699.0
OI000149,O00088,P016,1,299,25,224.25
