order_id,customer_id,order_date,order_status,payment_method,sales_channel,gross_amount,discount_amount,shipping_fee,final_amount,delivered_date
O00001,C0047,10-06-2024,Delivered,Debit Card,Mobile App,424.15,74.85,49,473.15,14-06-2024
O00002,C0016,18-02-2025,Delivered,Credit Card,Website,349,0,40,389,21-02-2025
O00003,C0191,03-12-2025,Delivered,Credit Card,Website,1467.4,229.6,0,1467.4,09-12-2025
O00004,C0087,10-08-2025,Delivered,Credit Card,Website,663.1,34.9,49,712.1,17-08-2025
O00005,C0211,17-07-2025,Delivered,UPI,Website,1511.35,134.65,0,1511.35,23-07-2025
O00006,C0401,11-05-2025,Delivered,UPI,Website,424.15,74.85,49,473.15,13-05-2025
O00007,C0272,01-01-2025,In Transit,COD,Website,2335.15,59.85,0,2335.15,
O00008,C0434,01-02-2025,Cancelled,Net Banking,Website,1037.2,59.8,0,0,
O00009,C0289,25-05-2024,Delivered,COD,Mobile App,699,0,0,699,28-05-2024
O00010,C0104,13-05-2024,Delivered,Net Banking,Mobile App,649,0,40,689,20-05-2024
O00011,C0492,15-03-2024,Returned,UPI,Website,559.2,139.8,59,618.2,23-03-2024
O00012,C0476,20-09-2025,Delivered,Credit Card,Website,254.15,44.85,59,313.15,28-09-2025
O00013,C0472,18-09-2025,Delivered,COD,Website,690.85,157.15,59,749.85,24-09-2025
O00014,C0355,10-03-2024,Delivered,Debit Card,Website,379.05,19.95,49,428.05,14-03-2024
O00015,C0334,04-12-2025,Delivered,Net Banking,Website,569.05,29.95,49,618.05,07-12-2025
O00016,C0458,09-05-2025,Delivered,Debit Card,Mobile App,449.25,149.75,49,498.25,14-05-2025
O00017,C0374,07-07-2025,Delivered,UPI,Website,1058.15,89.85,0,1058.15,12-07-2025
O00018,C0150,24-03-2024,Delivered,Debit Card,Website,1349.6,47.4,0,1349.6,31-03-2024
O00019,C0078,14-12-2025,Delivered,UPI,Website,2384.7,309.3,0,2384.7,20-12-2025
O00020,C0462,13-06-2025,Delivered,Credit Card,Website,1891.5,304.5,0,1891.5,22-06-2025
O00021,C0164,16-08-2025,Delivered,Net Banking,Website,1741.35,154.65,0,1741.35,19-08-2025
O00022,C0451,18-12-2024,Delivered,Debit Card,Mobile App,584.1,64.9,59,643.1,23-12-2024
O00023,C0382,01-05-2025,Returned,UPI,Mobile App,594.15,104.85,40,634.15,10-05-2025
O00024,C0165,02-10-2024,Delivered,UPI,Website,1723.55,22.45,0,1723.55,08-10-2024
O00025,C0292,22-10-2024,Delivered,Credit Card,Marketplace,1038.1,59.9,0,1038.1,26-10-2024
O00026,C0091,30-04-2025,Delivered,UPI,Mobile App,823.25,174.75,0,823.25,07-05-2025
O00027,C0347,30-07-2024,Delivered,UPI,Mobile App,1063.15,84.85,0,1063.15,05-08-2024
O00028,C0437,23-12-2024,Delivered,UPI,Website,2110.95,484.05,0,2110.95,28-12-2024
O00029,C0142,17-10-2025,Delivered,Debit Card,Marketplace,1412.3,134.7,0,1412.3,21-10-2025
O00030,C0255,29-10-2024,Delivered,UPI,Website,1025.7,122.3,0,1025.7,05-11-2024
O00031,C0260,03-11-2024,Cancelled,Net Banking,Website,594.15,104.85,0,0,
O00032,C0391,06-07-2024,Returned,Debit Card,Website,639.2,159.8,49,688.2,09-07-2024
O00033,C0299,17-08-2025,Delivered,Net Banking,Website,1841.25,154.75,0,1841.25,21-08-2025
O00034,C0250,06-12-2024,Delivered,Debit Card,Website,296.65,52.35,49,345.65,12-12-2024
O00035,C0067,21-09-2025,Delivered,Credit Card,Website,299.25,99.75,49,348.25,27-09-2025
O00036,C0010,18-10-2025,Delivered,Net Banking,Website,449,0,40,489,22-10-2025
O00037,C0069,16-12-2024,Delivered,Debit Card,Website,2225.4,219.6,0,2225.4,22-12-2024
O00038,C0320,19-02-2024,Delivered,UPI,Mobile App,699,0,0,699,22-02-2024
O00039,C0106,12-12-2025,Delivered,Credit Card,Website,426.55,22.45,40,466.55,17-12-2025
O00040,C0145,26-04-2024,Delivered,Credit Card,Mobile App,528.2,69.8,59,587.2,04-05-2024
O00041,C0465,23-04-2024,Delivered,UPI,Website,331.55,17.45,40,371.55,27-04-2024
O00042,C0136,22-10-2024,Cancelled,UPI,Mobile App,1118.4,279.6,0,0,
O00043,C0005,21-05-2024,Delivered,UPI,Website,2047.25,149.75,0,2047.25,24-05-2024
O00044,C0454,15-10-2025,In Transit,Net Banking,Website,1374.15,271.85,0,1374.15,
O00045,C0457,13-05-2024,Delivered,Net Banking,Website,239.2,59.8,59,298.2,19-05-2024
O00046,C0290,17-08-2024,Delivered,UPI,Website,853.1,44.9,0,853.1,24-08-2024
O00047,C0314,30-10-2024,Cancelled,Net Banking,Mobile App,336.75,112.25,0,0,
O00048,C0026,03-06-2025,Delivered,UPI,Website,319.2,79.8,49,368.2,07-06-2025
O00049,C0382,27-01-2025,Delivered,Credit Card,Mobile App,1122.3,124.7,0,1122.3,31-01-2025
O00050,C0419,16-08-2024,Delivered,Debit Card,Mobile App,645.65,52.35,59,704.65,24-08-2024
O00051,C0460,17-06-2024,Cancelled,Debit Card,Website,559.2,139.8,0,0,
O00052,C0111,13-04-2025,Delivered,UPI,Mobile App,449,0,49,498,17-04-2025
O00053,C0259,17-05-2024,Delivered,Debit Card,Mobile App,848.3,149.7,0,848.3,24-05-2024
O00054,C0089,24-10-2025,Delivered,UPI,Mobile App,474.05,24.95,49,523.05,01-11-2025
O00055,C0232,18-08-2025,Delivered,Debit Card,Mobile App,830.65,67.35,0,830.65,23-08-2025
O00056,C0333,01-07-2024,Delivered,UPI,Website,314.1,34.9,49,363.1,06-07-2024
O00057,C0274,19-10-2024,Delivered,UPI,Website,569.05,29.95,40,609.05,28-10-2024
O00058,C0075,04-03-2024,Delivered,Debit Card,Website,1278.3,219.7,0,1278.3,07-03-2024
O00059,C0409,13-12-2025,Delivered,COD,Website,1594,252,0,1594,20-12-2025
O00060,C0332,11-01-2025,Delivered,Credit Card,Mobile App,2161.2,134.8,0,2161.2,15-01-2025
O00061,C0080,14-11-2024,Delivered,COD,Mobile App,855.7,92.3,0,855.7,17-11-2024
O00062,C0207,04-04-2024,Returned,Debit Card,Website,359.1,39.9,59,418.1,10-04-2024
